"","date","datetime","site","precip","Ca","Mg","K","Na","Al","NH4","pH","SO4","NO3","Cl","PO4","SiO2","sp.cond","note","canonical"
"70",1965-03-29,NA,"S",NA,0.45,0.1,0.15,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"71",1965-04-12,NA,"S",NA,0.31,0.05,0.1,0.14,NA,0.22,4.1,4.77,1.95,0.4,NA,NA,NA,0,TRUE
"72",1965-04-19,NA,"S",NA,0.1,0.01,0.05,0.05,NA,0.74,4.45,2.35,0.72,0.75,NA,NA,NA,0,TRUE
"73",1965-04-27,NA,"S",NA,0.22,0.05,0.27,0.05,NA,0.79,4.1,5.32,2.43,0.15,NA,NA,NA,7,TRUE
"74",1965-05-10,NA,"S",NA,1.31,0.39,0.29,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"75",1965-05-17,NA,"S",NA,0.51,0.31,0.19,0.54,NA,0.08,4.23,4.89,0.2,12,NA,NA,NA,2,TRUE
"76",1965-05-24,NA,"S",NA,0.5,0.55,0.26,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"77",1965-06-01,NA,"S",NA,0.78,0.29,0.26,0.39,NA,0.06,4.34,4.82,2.06,10,NA,NA,NA,2,TRUE
"78",1965-06-15,NA,"S",NA,0.16,0.1,0.03,0.08,NA,0.05,4.24,3.43,0.03,5.2,NA,NA,NA,2,TRUE
"79",1965-06-21,NA,"S",NA,0.32,0.36,0.48,0.28,NA,0.03,4.2,3.65,0.04,14,NA,NA,NA,2,TRUE
"80",1965-06-28,NA,"S",NA,0.15,0.07,0.05,0.15,NA,0.02,3.92,5.48,1.36,2.98,NA,NA,NA,2,TRUE
"81",1965-07-06,NA,"S",NA,0.17,0.21,0.06,0.23,NA,0.48,4.24,4.38,0.2,8.5,NA,NA,NA,2,TRUE
"82",1965-07-12,NA,"S",NA,0.24,0.37,0.12,0.31,NA,0.3,4.14,4.67,0.28,20,NA,NA,NA,2,TRUE
"83",1965-07-19,NA,"S",NA,0.1,0.06,0.03,0.06,NA,0.12,4.2,3.73,0.06,2.11,NA,NA,NA,2,TRUE
"84",1965-07-26,NA,"S",NA,0.32,0.63,0.25,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"85",1965-08-02,NA,"S",NA,0.11,0.36,0.14,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"86",1965-08-09,NA,"S",NA,0.1,0.02,0.02,0.29,NA,0.15,4.1,3.94,1.09,0.64,NA,NA,NA,7,TRUE
"87",1965-08-16,NA,"S",NA,0.16,0.08,0.14,0.44,NA,0.94,4.22,3.8,0.11,4.6,NA,NA,NA,2,TRUE
"88",1965-08-23,NA,"S",NA,0.09,0.01,0.005,0.22,NA,0.04,4.13,3.88,1.21,0.22,NA,NA,NA,7,TRUE
"89",1965-08-30,NA,"S",NA,0.3,0.07,0.12,0.31,NA,0.17,3.92,6.6,1.16,3.21,NA,NA,NA,2,TRUE
"90",1965-09-07,NA,"S",NA,0.05,0.02,0.01,0.11,NA,0.16,4.14,3.45,0.8,1,NA,NA,NA,7,TRUE
"91",1965-09-13,NA,"S",NA,0.49,0.06,0.1,0.41,NA,NA,3.76,8.54,3.45,2.3,NA,NA,NA,2,TRUE
"92",1965-09-20,NA,"S",NA,0.19,0.04,0.01,0.11,NA,0.005,4.25,3.34,0.06,3.1,NA,NA,NA,2,TRUE
"93",1965-09-27,NA,"S",NA,0.09,0.01,0.01,0.06,NA,0.005,4.38,1.67,NA,0.3,NA,NA,NA,7,TRUE
"94",1965-10-04,NA,"S",NA,0.33,0.04,0.02,0.1,NA,0.005,4.39,2.17,0.79,1.79,NA,NA,NA,7,TRUE
"95",1965-10-11,NA,"S",NA,0.2,0.05,0.08,0.15,NA,0.005,4.25,2.44,0.73,2.8,NA,NA,NA,2,TRUE
"96",1965-10-18,NA,"S",NA,0.19,0.03,0.06,0.11,0.45,0.43,4.1,4.07,2.23,2.03,NA,NA,NA,2,TRUE
"97",1965-10-25,NA,"S",NA,0.13,0.06,0.04,0.11,0.46,0.31,4.25,2.52,1.05,1.81,NA,NA,NA,2,TRUE
"98",1965-11-01,NA,"S",NA,0.17,0.02,0.08,0.03,NA,NA,4.34,2.13,1.91,0.07,NA,NA,NA,0,TRUE
"99",1965-11-08,NA,"S",NA,0.64,0.13,0.17,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"100",1965-11-15,NA,"S",NA,0.07,0.02,0.02,0.09,0.16,0.18,4.27,2.72,0.81,1.01,NA,NA,NA,7,TRUE
"101",1965-11-22,NA,"S",NA,0.19,0.02,0.05,0.04,NA,0.27,4.12,3.64,2.04,0.68,NA,NA,NA,7,TRUE
"102",1965-11-29,NA,"S",NA,0.1,0.01,0.04,0.05,0.03,0.3,4.23,2.92,1.98,0.16,NA,NA,NA,7,TRUE
"103",1965-12-07,NA,"S",NA,0.19,0.04,0.15,0.26,0.15,0.83,3.88,6.16,5.25,0.77,NA,NA,NA,7,TRUE
"104",1965-12-14,NA,"S",NA,0.06,0.02,0.04,0.09,0.01,0.14,4.39,1.96,0.94,0.25,NA,NA,NA,7,TRUE
"105",1965-12-21,NA,"S",NA,0.09,0.02,0.04,0.05,0.04,0.26,4.1,3.24,3.64,0.23,NA,NA,NA,7,TRUE
"106",1965-12-28,NA,"S",NA,0.06,0.02,0.06,0.06,0.04,0.21,4.18,2.52,1.73,0.46,NA,NA,NA,7,TRUE
"107",1966-01-04,NA,"S",NA,0.22,0.02,0.04,0.05,0.01,0.11,4.47,1.68,0.62,0.24,NA,NA,NA,7,TRUE
"108",1966-01-11,NA,"S",NA,0.21,0.03,0.05,0.11,0.04,0.17,4.02,2.04,3.15,0.47,NA,NA,NA,7,TRUE
"109",1966-01-18,NA,"S",NA,NA,0.15,0.22,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE
"110",1966-01-25,NA,"S",NA,0.11,0.02,0.06,0.21,0.005,0.05,4.18,1.2,NA,0.7,NA,NA,NA,7,TRUE
"111",1966-02-01,NA,"S",NA,0.06,0.02,0.04,0.11,0.01,0.12,NA,1.28,1.28,0.34,NA,NA,NA,0,TRUE
"112",1966-02-08,NA,"S",NA,0.07,0.02,0.05,0.15,0.04,0.2,NA,2.64,1.26,0.28,NA,NA,NA,0,TRUE
"113",1966-02-15,NA,"S",NA,0.06,0.01,0.03,0.05,0.02,0.17,NA,1.24,0.52,0.11,NA,NA,NA,0,TRUE
"114",1966-02-22,NA,"S",NA,0.1,0.03,0.02,0.21,0.05,0.14,NA,1.4,1.5,0.47,NA,NA,NA,0,TRUE
"115",1966-03-01,NA,"S",NA,0.005,0.01,0.005,0.05,0.02,0.1,NA,1.64,0.41,0.17,NA,NA,NA,0,TRUE
"116",1966-03-08,NA,"S",NA,0.13,0.01,0.04,0.05,0.02,0.24,NA,2.52,0.8,0.11,NA,NA,NA,0,TRUE
"117",1966-03-15,NA,"S",NA,0.11,0.02,0.02,0.08,0.02,0.11,4.48,1.32,1.5,0.19,NA,NA,NA,7,TRUE
"118",1966-03-22,NA,"S",NA,3,0.36,0.3,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE
"119",1966-03-29,NA,"S",NA,0.23,0.05,0.02,0.31,0.005,0.17,4.36,2.28,0.95,0.63,NA,NA,NA,7,TRUE
"120",1966-04-05,NA,"S",NA,0.32,0.06,0.09,0.15,0.17,0.54,3.95,3.96,5.6,0.59,NA,NA,NA,7,TRUE
"121",1966-04-12,NA,"S",NA,0.19,0.01,0.04,0.04,0.06,0.54,4.01,4.08,3.61,0.29,NA,NA,NA,7,TRUE
"122",1966-04-26,NA,"S",NA,0.18,0.04,0.05,0.19,0.09,0.65,3.94,5.39,2.17,0.38,NA,NA,NA,0,TRUE
"123",1966-05-03,NA,"S",NA,0.19,0.01,0.005,0.03,0.06,0.4,4.01,4.41,2.49,0.19,NA,NA,NA,7,TRUE
"124",1966-05-10,NA,"S",NA,0.26,0.04,0.04,0.06,0.05,0.45,4.19,3.89,2,0.25,NA,NA,NA,7,TRUE
"125",1966-05-17,NA,"S",NA,0.1,0.02,0.04,0.08,0.16,NA,3.94,4.9,3.28,1.29,NA,NA,NA,1,FALSE
"126",1966-05-24,NA,"S",NA,1.66,0.07,0.09,0.98,0.15,0.21,3.93,6.5,2.66,1.81,NA,NA,NA,7,TRUE
"127",1966-05-31,NA,"S",NA,0.39,0.07,0.09,0.15,0.05,0.52,4.04,5.98,2.56,0.42,NA,NA,NA,0,TRUE
"128",1966-06-07,NA,"S",NA,0.39,0.07,0.09,0.15,0.05,0.52,4.02,5.98,2.56,0.42,NA,NA,NA,7,TRUE
"129",1966-06-13,NA,"S",NA,0.005,0.01,0.03,0.07,0.02,0.06,4.23,2.63,0.88,0.26,NA,NA,NA,7,TRUE
