Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea,ElevB
2011,1,2,1,PIRU,10,87,8582,11.0,0,33.97,12.07,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,88,8594,11.8,0,39.51,13.99,1.00,625.00,0.00,H
2011,1,2,1,ACPE,6,89,8583,11.5,0,49.82,9.00,1.00,625.00,0.00,H
2011,1,2,1,BEAL,3,90,8595,10.2,0,34.23,7.72,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,91,8593,10.7,0,32.01,11.38,1.00,625.00,0.00,H
2011,1,2,1,ABBA,9,92,8592,10.2,0,21.33,8.53,1.00,625.00,0.00,H
2011,1,2,1,ACPE,6,93,0,9.1,0,26.56,5.86,1.00,0.00,75.00,H
2011,1,2,1,ACPE,6,94,0,9.8,0,32.39,6.71,1.00,0.00,75.00,H
2011,1,2,1,BEAL,3,95,0,6.4,0,9.63,2.21,1.00,0.00,75.00,H
2011,1,2,1,FAGR,2,96,0,9.0,0,29.49,7.68,1.00,0.00,75.00,H
2011,1,2,1,FAGR,2,97,0,9.6,0,34.32,8.86,1.00,0.00,75.00,H
2011,1,2,1,FAGR,2,98,0,6.7,0,14.68,3.98,1.00,0.00,75.00,H
2011,1,2,1,FAGR,2,99,0,2.7,0,1.73,0.52,1.00,0.00,75.00,H
2011,1,2,1,FAGR,2,100,0,8.2,0,23.68,6.25,1.00,0.00,75.00,H
2011,1,2,1,ACPE,6,101,0,3.2,0,1.79,0.86,1.00,0.00,75.00,H
2011,1,2,1,ACPE,6,102,0,8.7,0,23.56,5.39,1.00,0.00,75.00,H
2011,1,3,1,FAGR,2,103,6623,26.2,5,83.84,10.51,1.00,625.00,0.00,H
2011,1,3,1,ACRU,13,104,6624,49.1,0,2551.79,359.43,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,105,6625,22.2,0,145.89,46.47,1.00,625.00,0.00,H
2011,1,3,1,BEAL,3,106,6626,30.9,0,631.46,128.04,1.00,625.00,0.00,H
